	barcode01	barcode02	barcode03	barcode04	barcode05	barcode06	barcode07	barcode08	barcode09	barcode10
Bacillus rugosus	3200.0	3148.0	3176.0	3197.0	3085.0	3097.0	3148.0	3152.0	3223.0	3154.0
Bacillus halotolerans	2532.0	2504.0	2474.0	2465.0	2541.0	2594.0	2572.0	2547.0	2537.0	2533.0
Bacillus subtilis	167.0	198.0	171.0	183.0	187.0	189.0	171.0	164.0	160.0	176.0
Bacillus spizizenii	152.0	172.0	163.0	148.0	172.0	138.0	153.0	170.0	130.0	181.0
Bacillus stercoris	117.0	104.0	106.0	105.0	114.0	109.0	111.0	110.0	111.0	102.0
Bacillus mojavensis	187.0	218.0	206.0	214.0	200.0	199.0	176.0	228.0	182.0	195.0
Bacillus cabrialesii	363.0	402.0	421.0	403.0	412.0	389.0	392.0	369.0	395.0	382.0
Bacillus vallismortis	24.0	27.0	29.0	22.0	28.0	37.0	32.0	20.0	39.0	16.0
Bacillus inaquosorum	143.0	135.0	154.0	172.0	158.0	155.0	150.0	159.0	130.0	165.0
Bacillus tequilensis	26.0	11.0	22.0	21.0	22.0	18.0	19.0	15.0	13.0	25.0
Bacillus velezensis	28.0	16.0	21.0	18.0	17.0	21.0	20.0	14.0	26.0	15.0
Bacillus amyloliquefaciens	2.0	5.0	2.0	1.0	4.0	3.0	2.0	1.0	1.0	2.0
Bacillus licheniformis	3.0	3.0	3.0	4.0	2.0	2.0	3.0	2.0	3.0	3.0
Bacillus paralicheniformis	5.0	4.0	2.0	1.0	4.0	1.0	2.0	2.0	1.0	3.0
Bacillus aerophilus	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0
Bacillus nematocida	1.0	1.0	3.0	0.0	4.0	2.0	2.0	0.0	0.0	1.0
Bacillus nakamurai	6.0	4.0	2.0	4.0	5.0	3.0	5.0	4.0	7.0	1.0
Calidifontibacillus erzurumensis	2.0	4.0	4.0	0.0	2.0	0.0	2.0	2.0	1.0	0.0
Listeria cossartiae	5045.0	5063.0	5027.0	5070.0	5009.0	5079.0	5046.0	5042.0	5032.0	5046.0
Listeria innocua	376.0	342.0	368.0	365.0	368.0	363.0	363.0	373.0	362.0	373.0
Listeria farberi	62.0	66.0	78.0	56.0	76.0	53.0	59.0	67.0	67.0	58.0
Listeria welshimeri	117.0	115.0	118.0	104.0	137.0	108.0	118.0	105.0	136.0	119.0
Listeria seeligeri	18.0	26.0	15.0	15.0	20.0	18.0	24.0	17.0	17.0	17.0
Listeria swaminathanii	7.0	12.0	9.0	10.0	9.0	5.0	8.0	13.0	6.0	7.0
Listeria marthii	15.0	15.0	23.0	18.0	20.0	13.0	21.0	21.0	20.0	17.0
Listeria immobilis	0.0	0.0	2.0	1.0	0.0	0.0	1.0	2.0	0.0	1.0
Staphylococcus roterodami	3566.0	3517.0	3493.0	3583.0	3618.0	3505.0	3560.0	3550.0	3580.0	3645.0
Staphylococcus aureus	1693.0	1687.0	1669.0	1678.0	1676.0	1728.0	1700.0	1672.0	1677.0	1652.0
Staphylococcus argenteus	750.0	806.0	813.0	761.0	717.0	756.0	731.0	760.0	753.0	698.0
Staphylococcus schweitzeri	146.0	135.0	167.0	136.0	137.0	155.0	156.0	160.0	136.0	150.0
Staphylococcus simiae	34.0	33.0	34.0	24.0	27.0	33.0	28.0	26.0	29.0	33.0
Staphylococcus taiwanensis	0.0	3.0	5.0	2.0	4.0	5.0	3.0	2.0	1.0	4.0
Staphylococcus capitis	1.0	1.0	2.0	0.0	2.0	1.0	3.0	3.0	2.0	0.0
Staphylococcus casei	1.0	3.0	3.0	1.0	2.0	2.0	2.0	0.0	3.0	1.0
Staphylococcus borealis	3.0	4.0	6.0	2.0	6.0	3.0	5.0	7.0	7.0	5.0
Staphylococcus caprae	1.0	0.0	3.0	2.0	3.0	4.0	3.0	4.0	6.0	1.0
Staphylococcus saccharolyticus	0.0	2.0	1.0	1.0	0.0	1.0	2.0	5.0	1.0	2.0
Staphylococcus croceilyticus	0.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0
Staphylococcus petrasii	1.0	1.0	2.0	1.0	1.0	0.0	0.0	2.0	0.0	2.0
Enterococcus faecalis	3909.0	3900.0	3898.0	3877.0	3891.0	3897.0	3904.0	3894.0	3907.0	3897.0
Enterococcus mediterraneensis	8.0	12.0	8.0	12.0	8.0	9.0	13.0	10.0	11.0	10.0
Enterococcus gallinarum	3.0	5.0	3.0	6.0	3.0	3.0	4.0	8.0	1.0	3.0
Enterococcus hirae	3.0	1.0	3.0	12.0	4.0	5.0	3.0	9.0	4.0	5.0
Enterococcus wangshanyuanii	7.0	11.0	20.0	19.0	16.0	13.0	9.0	13.0	10.0	18.0
Enterococcus dispar	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Enterococcus rivorum	5.0	5.0	5.0	7.0	5.0	6.0	8.0	1.0	8.0	4.0
Enterococcus caccae	0.0	1.0	1.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0
Enterococcus faecium	4.0	2.0	3.0	4.0	0.0	2.0	3.0	1.0	3.0	2.0
Enterococcus saccharolyticus	0.0	4.0	4.0	3.0	5.0	5.0	2.0	5.0	3.0	3.0
Enterococcus innesii	2.0	2.0	1.0	3.0	2.0	0.0	0.0	3.0	0.0	1.0
Enterococcus mundtii	0.0	1.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0
