	barcode01	barcode02	barcode03	barcode04	barcode05	barcode06	barcode07	barcode08	barcode09	barcode10
Bacillus rugosus	3039	2979	3008	3035	2933	2940	2999	2994	3058	3002
Bacillus halotolerans	2387	2374	2365	2357	2400	2467	2447	2416	2419	2409
Bacillus subtilis	162	184	157	176	181	177	160	154	154	164
Bacillus spizizenii	142	162	151	137	162	134	144	155	123	169
Bacillus stercoris	113	97	95	102	107	105	108	105	105	100
Bacillus mojavensis	181	206	196	207	186	186	172	213	174	187
Bacillus cabrialesii	350	382	407	386	396	373	374	351	373	366
Bacillus vallismortis	22	26	28	22	28	35	32	17	39	16
Bacillus inaquosorum	140	127	146	161	149	147	142	151	124	157
Bacillus tequilensis	25	11	22	20	20	17	19	13	12	24
Bacillus velezensis	25	15	21	18	17	19	20	13	26	13
Bacillus amyloliquefaciens	2	5	2	1	4	3	2	1	1	1
Bacillus licheniformis	3	3	3	4	2	1	3	2	3	3
Bacillus paralicheniformis	5	4	2	1	3	1	2	2	1	3
Bacillus aerophilus	0	1	1	1	1	0	0	0	0	1
Bacillus nematocida	1	1	3	0	4	2	2	0	0	1
Bacillus nakamurai	6	4	2	4	5	3	5	4	7	1
Calidifontibacillus erzurumensis	2	4	4	0	2	0	2	2	1	0
Listeria cossartiae	4793	4842	4805	4816	4752	4812	4792	4782	4743	4798
Listeria innocua	355	323	352	352	351	346	342	349	344	354
Listeria farberi	58	62	77	54	70	51	56	66	62	53
Listeria welshimeri	112	110	111	93	129	104	113	102	131	115
Listeria seeligeri	18	26	15	14	19	17	22	15	16	16
Listeria swaminathanii	7	12	7	9	9	5	7	12	5	6
Listeria marthii	14	15	22	16	19	13	19	20	20	17
Listeria immobilis	0	0	2	1	0	0	1	2	0	1
Staphylococcus roterodami	3389	3326	3329	3413	3459	3341	3348	3390	3408	3478
Staphylococcus aureus	1603	1621	1577	1592	1595	1620	1616	1605	1609	1572
Staphylococcus argenteus	718	775	764	726	681	716	689	715	723	659
Staphylococcus schweitzeri	136	131	158	126	137	143	148	153	127	142
Staphylococcus simiae	34	31	34	23	25	33	27	26	27	33
Staphylococcus taiwanensis	0	3	4	2	4	5	3	2	1	4
Staphylococcus capitis	1	0	2	0	2	1	3	3	2	0
Staphylococcus casei	1	3	3	1	2	2	2	0	3	1
Staphylococcus borealis	3	4	6	2	6	3	4	6	7	5
Staphylococcus caprae	1	0	3	2	3	4	3	4	6	1
Staphylococcus saccharolyticus	0	2	1	1	0	1	2	5	1	2
Staphylococcus croceilyticus	0	1	2	1	1	1	2	2	2	2
Staphylococcus petrasii	1	1	2	1	1	0	0	2	0	2
Enterococcus faecalis	3715	3708	3704	3639	3685	3728	3711	3713	3726	3677
Enterococcus mediterraneensis	8	12	8	12	8	7	13	9	10	9
Enterococcus gallinarum	3	5	3	6	3	3	3	7	1	2
Enterococcus hirae	3	0	3	12	3	5	3	8	4	3
Enterococcus wangshanyuanii	7	11	19	19	16	13	9	12	10	18
Enterococcus dispar	0	0	1	0	0	0	0	0	0	1
Enterococcus rivorum	5	4	5	7	5	4	7	1	8	4
Enterococcus caccae	0	1	1	0	2	1	0	0	1	0
Enterococcus faecium	3	2	3	4	0	2	3	1	3	2
Enterococcus saccharolyticus	0	4	4	3	5	5	2	5	3	2
Enterococcus innesii	1	2	1	3	2	0	0	3	0	1
Enterococcus mundtii	0	1	1	1	0	0	0	1	1	1
Enterococcus rotai	2	0	2	4	3	0	0	1	2	3
Enterococcus plantarum	0	0	1	0	1	0	0	0	2	2
Enterococcus pseudoavium	0	1	2	1	2	3	1	1	2	0
Enterococcus canis	0	0	1	0	1	0	0	0	0	0
Enterococcus ureilyticus	7	6	3	4	3	1	3	5	0	5
Enterococcus termitis	2	1	1	1	1	4	0	4	2	2
Enterococcus silesiacus	2	2	1	1	1	0	1	0	0	0
Limosilactobacillus fermentum	6981	6975	6987	6985	6995	6976	6985	7011	6972	7000
Shigella flexneri	480	481	503	478	493	524	483	470	477	439
Shigella sonnei	218	179	188	202	191	210	215	236	214	219
Shigella dysenteriae	31	30	37	39	44	26	50	38	30	41
Shigella boydii	9	9	19	9	12	6	5	12	8	8
Escherichia fergusonii	2558	2519	2506	2512	2505	2500	2482	2455	2533	2525
Escherichia marmotae	525	551	509	517	535	521	546	544	538	553
Escherichia coli	8	5	13	12	12	12	7	9	6	13
Escherichia albertii	2	8	4	4	6	6	2	7	6	4
Enterobacter sichuanensis	3	2	4	2	2	1	2	1	1	0
Enterobacter asburiae	0	1	2	1	2	1	2	1	0	0
Enterobacter cloacae	6	5	7	14	8	6	5	8	9	12
Enterobacter mori	0	0	1	1	1	0	0	0	0	0
Enterobacter quasihormaechei	1	2	6	2	5	5	4	2	8	4
Enterobacter oligotrophicus	8	4	7	13	4	4	8	6	6	6
Salmonella enterica	3913	3933	3910	3939	3908	3944	3948	3918	3920	3903
Salmonella bongori	2	2	6	6	6	8	4	6	3	4
Kosakonia cowanii	1	0	1	1	0	0	0	0	0	0
Kosakonia sacchari	1	2	5	1	2	1	3	0	2	3
Citrobacter amalonaticus	2	2	2	1	0	2	2	1	1	0
Citrobacter telavivensis	1	2	3	2	1	0	0	0	2	3
Citrobacter koseri	6	8	3	3	7	5	6	10	5	6
Citrobacter sedlakii	1	2	3	0	2	2	1	1	0	3
Siccibacter colletis	0	0	1	0	1	0	0	0	0	0
Pseudescherichia vulneris	1	3	2	1	1	0	2	2	1	0
Atlantibacter hermannii	7	4	5	6	5	4	3	2	7	10
Klebsiella variicola	0	0	1	0	0	0	0	0	1	0
Klebsiella pneumoniae	0	2	1	3	0	0	1	0	1	0
Klebsiella pasteurii	2	1	1	0	2	0	1	0	1	3
Cronobacter sakazakii	3	6	3	3	3	3	1	4	2	2
Cronobacter turicensis	1	2	2	0	0	0	0	2	1	1
Cronobacter muytjensii	0	0	2	1	0	0	0	0	1	0
Cronobacter condimenti	1	1	1	2	3	2	0	1	1	0
Pseudocitrobacter faecalis	0	0	1	0	0	0	0	1	0	0
Pseudocitrobacter vendiensis	1	1	1	0	2	3	3	0	1	2
Trabulsiella odontotermitis	1	1	4	3	4	6	3	1	1	2
Serratia fonticola	0	0	1	3	1	0	0	0	0	1
Pantoea cypripedii	1	1	2	0	0	0	0	1	0	0
Pantoea agglomerans	0	0	2	0	0	0	0	0	0	1
Erwinia tasmaniensis	0	0	1	1	0	0	0	0	0	0
Pseudomonas aeruginosa	1580	1586	1576	1603	1588	1574	1592	1594	1581	1587
Pseudomonas tohonis	2	0	2	0	1	1	0	0	1	3
Pseudomonas boanensis	3	3	4	1	1	1	2	3	2	4
Pseudomonas alcaliphila	0	0	1	1	0	0	0	0	0	0
Pseudomonas lalkuanensis	0	1	2	1	0	1	1	0	1	0
Pseudomonas alcaligenes	2	0	1	1	0	0	1	0	0	0
Pseudomonas knackmussii	0	0	1	0	0	0	0	0	0	1
Pseudomonas otitidis	0	1	1	2	1	2	2	1	0	0
Pseudomonas nicosulfuronedens	0	0	1	0	0	1	0	0	0	0
Pseudomonas resinovorans	1	0	1	0	0	0	0	1	1	0
Bacillus aerius	0	2	0	0	1	0	0	0	0	1
Bacillus stratosphericus	2	0	0	0	0	0	0	0	1	1
Listeria monocytogenes	0	0	0	0	1	0	0	0	0	1
Staphylococcus haemolyticus	0	2	0	0	1	2	0	2	1	0
Staphylococcus xylosus	0	1	0	1	1	0	1	0	0	0
Staphylococcus auricularis	1	2	0	2	2	2	1	0	0	0
Staphylococcus hominis	1	0	0	1	1	1	0	1	1	1
