mock1	mock10	mock2	mock3	mock4	mock5	mock6	mock7	mock8	mock9
TAXA_001	1	1	2	1	1	0	0	0	0	1
TAXA_002	35	31	31	30	25	29	34	30	30	32
TAXA_003	653	641	629	693	663	645	652	641	657	682
TAXA_004	860	866	888	838	841	875	863	876	870	842
TAXA_005	0	3	0	0	0	0	0	0	0	0
TAXA_006	0	4	0	0	0	0	3	4	6	4
TAXA_007	2640	2660	2653	2632	2648	2649	2620	2684	2607	2678
TAXA_008	22	11	22	18	14	17	15	13	12	14
TAXA_009	0	0	4	0	3	0	3	3	3	4
TAXA_010	16	18	8	15	16	7	12	15	16	14
TAXA_011	3	0	0	0	0	0	0	3	6	3
TAXA_012	9	10	12	13	6	11	11	7	9	10
TAXA_013	4	6	6	7	6	7	7	2	6	2
TAXA_014	893	849	905	849	876	885	899	870	885	881
TAXA_015	24	34	26	22	31	24	30	26	26	21
TAXA_016	4	4	8	4	5	6	3	9	2	10
TAXA_017	22	16	14	23	17	22	15	22	20	13
TAXA_018	68	50	71	72	61	64	78	66	58	55
TAXA_019	5	4	3	7	7	3	8	0	3	4
TAXA_020	0	1	2	3	2	1	2	0	3	0
TAXA_021	26	17	25	20	23	16	12	18	26	17
TAXA_022	24	21	24	27	24	18	25	19	21	23
TAXA_023	12	18	18	17	13	17	12	9	14	10
TAXA_024	11	11	15	12	13	10	15	15	14	13
TAXA_025	0	0	0	3	5	3	0	0	0	4
TAXA_026	0	0	0	2	1	2	0	0	1	0
TAXA_027	2	1	1	0	1	0	1	2	1	1
TAXA_028	226	214	205	224	218	222	204	230	219	219
TAXA_029	4885	4810	4841	4820	4811	4812	4854	4829	4797	4851
TAXA_030	3	5	6	6	7	3	0	5	6	5
TAXA_031	9	10	9	7	6	6	8	6	7	5
TAXA_032	0	0	0	0	0	0	3	0	0	0
TAXA_033	69	64	65	60	74	69	57	72	62	71
TAXA_034	3353	3357	3391	3342	3346	3334	3362	3346	3315	3354
TAXA_035	7	6	6	12	4	0	8	5	3	0
TAXA_036	0	3	0	0	4	5	0	3	4	0
TAXA_037	0	0	0	4	4	4	3	0	0	5
TAXA_038	1	1	1	1	1	0	1	1	1	0
TAXA_039	746	786	748	735	720	784	756	787	769	785
TAXA_040	20	20	18	18	17	18	23	17	20	23
TAXA_041	21	20	22	14	20	13	21	18	17	19
TAXA_042	47	49	46	51	44	52	46	55	56	58
TAXA_043	3	0	0	3	0	0	0	0	0	3
TAXA_044	1673	1644	1626	1643	1677	1621	1650	1602	1588	1609
TAXA_045	4	3	6	6	8	4	7	5	6	3
TAXA_046	14	11	18	12	22	17	22	14	16	15
TAXA_047	1	2	0	1	2	2	3	4	2	1
TAXA_048	0	0	4	4	3	0	0	0	0	0
TAXA_049	17	13	16	17	21	13	17	18	14	16
TAXA_050	12	12	9	9	11	7	13	7	12	6
TAXA_051	5609	5605	5592	5537	5587	5551	5582	5600	5560	5565
TAXA_052	144	152	142	159	163	160	165	150	155	149
TAXA_053	1	2	1	0	1	0	0	0	1	1
TAXA_054	7	11	8	8	8	9	9	6	9	9
TAXA_055	4676	4698	4664	4611	4654	4685	4669	4647	4639	4640
TAXA_056	16	15	13	13	8	10	7	12	7	14
TAXA_057	23	22	29	32	22	23	23	25	30	35
TAXA_058	30	27	31	34	24	27	28	20	21	31
TAXA_059	1	1	1	0	0	0	1	0	0	0
TAXA_060	3406	3398	3382	3401	3379	3392	3366	3414	3394	3382
TAXA_061	3	0	4	0	0	0	3	0	0	0
TAXA_062	4	9	5	4	5	4	5	7	8	7
TAXA_063	13	22	21	15	12	19	22	20	14	19
TAXA_064	5	5	5	6	4	10	5	5	6	5
TAXA_065	0	0	4	0	0	0	0	0	0	3
TAXA_066	0	0	0	0	0	0	0	0	3	0
TAXA_067	2	6	0	3	0	4	3	3	4	1
TAXA_068	67	62	75	63	74	68	68	75	72	61
TAXA_069	12	22	23	22	20	23	26	25	15	18
TAXA_070	6	8	10	6	4	6	6	6	4	6
TAXA_071	1	0	0	1	0	0	0	0	0	0
TAXA_072	1	0	0	0	0	0	1	0	1	0
TAXA_073	1	2	1	2	2	0	3	0	1	1
TAXA_074	1536	1511	1524	1518	1508	1485	1552	1498	1514	1475
TAXA_075	21	13	17	17	12	17	9	13	12	16
TAXA_076	3	0	0	5	5	0	3	3	0	0
TAXA_077	1	0	3	1	0	3	0	3	0	0
