	barcode01
Arthrobacter crystallopoietes	3
Arthrobacter luteolus	1
Bacillus albus	2
Bacillus cereus	118
Bacillus clarus	14
Bacillus fungorum	32
Bacillus hominis	3
Bacillus luti	2
Bacillus mobilis	191
Bacillus mycoides	2
Bacillus nitratireducens	1
Bacillus pacificus	20
Bacillus paramobilis	286
Bacillus paramycoides	5
Bacillus paranthracis	43
Bacillus proteolyticus	67
Bacillus pseudomycoides	1
Bacillus sanguinis	467
Bacillus thuringiensis	199
Bacillus toyonensis	516
Bacillus tropicus	1
Bacillus wiedmannii	30
Brevundimonas huaxiensis	1578
Brevundimonas intermedia	1
Brevundimonas nasdae	46
Brevundimonas vesicularis	375
Citrobacter amalonaticus	1
Citrobacter koseri	2
Cronobacter sakazakii	2
Dickeya parazeae	1
Enterobacter bugandensis	1
Enterobacter chengduensis	73
Enterobacter chuandaensis	167
Enterobacter cloacae	8
Enterobacter hormaechei	2
Enterobacter huaxiensis	3
Enterobacter ludwigii	13
Enterobacter mori	19
Enterobacter oligotrophicus	2
Enterobacter quasihormaechei	11
Enterobacter quasiroggenkampii	1419
Enterobacter sichuanensis	23
Enterobacter soli	1
Enterobacter wuhouensis	247
Enterococcus faecalis	1982
Enterococcus faecium	1
Enterococcus florum	2
Enterococcus gallinarum	4
Enterococcus larvae	1
Enterococcus malodoratus	1
Enterococcus mediterraneensis	6
Enterococcus rotai	1
Enterococcus saccharolyticus	2
Escherichia coli	4
Escherichia fergusonii	1526
Escherichia marmotae	1
Exiguobacterium acetylicum	1943
Exiguobacterium artemiae	1
Exiguobacterium indicum	56
Gibbsiella dentisursi	1
Klebsiella aerogenes	20
Klebsiella africana	84
Klebsiella oxytoca	1
Klebsiella pasteurii	7
Klebsiella pneumoniae	5556
Klebsiella quasipneumoniae	17
Klebsiella quasivariicola	100
Klebsiella variicola	179
Kluyvera ascorbata	1
Kocuria aegyptia	1
Kocuria carniphila	1
Kocuria dechangensis	1
Kocuria oceani	1
Kocuria polaris	1
Kocuria rosea	1
Kocuria salina	3
Kocuria salsicia	1
Kocuria sediminis	14
Kocuria turfanensis	1972
Kosakonia sacchari	5
Leclercia adecarboxylata	5
Listeria cossartiae	1804
Listeria farberi	25
Listeria innocua	108
Listeria marthii	11
Listeria seeligeri	2
Listeria swaminathanii	2
Listeria welshimeri	48
Pantoea agglomerans	1
Pectobacterium parmentieri	1
Pectobacterium polaris	1
Pectobacterium quasiaquaticum	3
Phytobacter palmae	2
Pseudocitrobacter vendiensis	1
Rouxiella aceris	1
Salmonella enterica	1
Scandinavium goeteborgense	25
Serratia liquefaciens	1
Serratia marcescens	2
Serratia nematodiphila	1
Shigella boydii	3
Shigella dysenteriae	1
Shigella flexneri	313
Shigella sonnei	141
Staphylococcus argenteus	240
Staphylococcus aureus	429
Staphylococcus borealis	3
Staphylococcus caeli	1
Staphylococcus capitis	2
Staphylococcus petrasii	1
Staphylococcus piscifermentans	1
Staphylococcus roterodami	1277
Staphylococcus schweitzeri	23
Staphylococcus simiae	18
Staphylococcus simulans	1
Staphylococcus taiwanensis	4
