	barcode01
Arthrobacter crystallopoietes	3
Arthrobacter luteolus	1
Bacillus albus	2
Bacillus cereus	111
Bacillus clarus	14
Bacillus fungorum	29
Bacillus hominis	3
Bacillus luti	2
Bacillus mobilis	183
Bacillus mycoides	2
Bacillus nitratireducens	1
Bacillus pacificus	20
Bacillus paramobilis	267
Bacillus paramycoides	5
Bacillus paranthracis	38
Bacillus proteolyticus	64
Bacillus pseudomycoides	1
Bacillus sanguinis	448
Bacillus thuringiensis	177
Bacillus toyonensis	486
Bacillus tropicus	1
Bacillus wiedmannii	29
Brevundimonas huaxiensis	1508
Brevundimonas intermedia	1
Brevundimonas nasdae	43
Brevundimonas vesicularis	356
Citrobacter amalonaticus	1
Citrobacter koseri	2
Cronobacter sakazakii	1
Dickeya parazeae	1
Enterobacter bugandensis	1
Enterobacter chengduensis	70
Enterobacter chuandaensis	159
Enterobacter cloacae	7
Enterobacter hormaechei	2
Enterobacter huaxiensis	3
Enterobacter ludwigii	12
Enterobacter mori	19
Enterobacter oligotrophicus	1
Enterobacter quasihormaechei	10
Enterobacter quasiroggenkampii	1337
Enterobacter sichuanensis	21
Enterobacter soli	1
Enterobacter wuhouensis	238
Enterococcus faecalis	1879
Enterococcus faecium	1
Enterococcus florum	2
Enterococcus gallinarum	4
Enterococcus larvae	1
Enterococcus malodoratus	1
Enterococcus mediterraneensis	5
Enterococcus rotai	1
Enterococcus saccharolyticus	2
Escherichia coli	4
Escherichia fergusonii	1465
Escherichia marmotae	1
Exiguobacterium acetylicum	1844
Exiguobacterium artemiae	1
Exiguobacterium indicum	49
Gibbsiella dentisursi	1
Klebsiella aerogenes	15
Klebsiella africana	82
Klebsiella oxytoca	1
Klebsiella pasteurii	7
Klebsiella pneumoniae	5282
Klebsiella quasipneumoniae	16
Klebsiella quasivariicola	97
Klebsiella variicola	171
Kluyvera ascorbata	1
Kocuria aegyptia	1
Kocuria carniphila	1
Kocuria dechangensis	1
Kocuria oceani	1
Kocuria polaris	1
Kocuria rosea	1
Kocuria salina	3
Kocuria salsicia	0
Kocuria sediminis	14
Kocuria turfanensis	1876
Kosakonia sacchari	5
Leclercia adecarboxylata	5
Listeria cossartiae	1714
Listeria farberi	24
Listeria innocua	103
Listeria marthii	11
Listeria seeligeri	1
Listeria swaminathanii	2
Listeria welshimeri	47
Pantoea agglomerans	1
Pectobacterium parmentieri	1
Pectobacterium polaris	1
Pectobacterium quasiaquaticum	3
Phytobacter palmae	2
Pseudocitrobacter vendiensis	1
Rouxiella aceris	0
Salmonella enterica	1
Scandinavium goeteborgense	23
Serratia liquefaciens	1
Serratia marcescens	2
Serratia nematodiphila	1
Shigella boydii	3
Shigella dysenteriae	1
Shigella flexneri	291
Shigella sonnei	134
Staphylococcus argenteus	232
Staphylococcus aureus	409
Staphylococcus borealis	3
Staphylococcus caeli	1
Staphylococcus capitis	2
Staphylococcus petrasii	1
Staphylococcus piscifermentans	1
Staphylococcus roterodami	1218
Staphylococcus schweitzeri	22
Staphylococcus simiae	15
Staphylococcus simulans	1
Staphylococcus taiwanensis	4
