	barcode01
Achromobacter agilis	4
Achromobacter aloeverae	3
Achromobacter animicus	10
Achromobacter anxifer	7
Achromobacter deleyi	1
Achromobacter denitrificans	6
Achromobacter dolens	2
Achromobacter insolitus	1
Achromobacter insuavis	8
Achromobacter veterisilvae	1
Achromobacter xylosoxidans	10
Acidaminococcus intestini	1917
Acinetobacter baumannii	1905
Acinetobacter bereziniae	1
Acinetobacter brisouii	1
Acinetobacter calcoaceticus	76
Acinetobacter chinensis	4
Acinetobacter courvalinii	2
Acinetobacter geminorum	18
Acinetobacter guillouiae	8
Acinetobacter gyllenbergii	3
Acinetobacter haemolyticus	6
Acinetobacter johnsonii	24
Acinetobacter junii	1895
Acinetobacter kanungonis	2
Acinetobacter lactucae	859
Acinetobacter modestus	2
Acinetobacter nosocomialis	521
Acinetobacter oleivorans	388
Acinetobacter pittii	282
Acinetobacter plantarum	3
Acinetobacter proteolyticus	1851
Acinetobacter rongchengensis	2
Acinetobacter seifertii	1662
Acinetobacter tjernbergiae	11
Acinetobacter venetianus	1
Acinetobacter wuhouensis	1
Actinobacillus arthritidis	1
Actinobacillus pleuropneumoniae	1
Aerococcus sanguinicola	3
Aerococcus urinae	1
Aerococcus urinaehominis	1894
Aeromonas allosaccharophila	8
Aeromonas bestiarum	3
Aeromonas bivalvium	8
Aeromonas cavernicola	7
Aeromonas dhakensis	1
Aeromonas diversa	1
Aeromonas enteropelogenes	1
Aeromonas finlandensis	1
Aeromonas fluvialis	8
Aeromonas hydrophila	85
Aeromonas jandaei	242
Aeromonas lacus	4
Aeromonas lusitana	3
Aeromonas molluscorum	1
Aeromonas popoffii	1
Aeromonas rivipollensis	8
Aeromonas rivuli	7
Aeromonas salmonicida	3
Aeromonas schubertii	3
Aeromonas sobria	4
Aeromonas tecta	3
Aeromonas veronii	1493
Aggregatibacter kilianii	2
Akkermansia muciniphila	1905
Aliarcobacter cibarius	68
Aliarcobacter cryaerophilus	1801
Aliarcobacter trophiarum	33
Alkalibacterium indicireducens	1
Amphibacillus haojiensis	2
Amylolactobacillus amylophilus	1
Anaerosphaera aminiphila	1
Anaerosphaera massiliensis	15
Anaerostipes hadrus	1
Anaerostipes hominis	1
Anaerostipes rhamnosivorans	1887
Arthrobacter ginkgonis	1
Atlantibacter hermannii	8
Bacillus aerophilus	20
Bacillus altitudinis	1
Bacillus atrophaeus	3
Bacillus australimaris	131
Bacillus halotolerans	1
Bacillus pseudoflexus	1
Bacillus pumilus	613
Bacillus safensis	27
Bacillus stratosphericus	20
Bacillus subtilis	1
Bacillus vallismortis	2
Bacillus velezensis	2
Bacillus xiamenensis	2
Bacillus zhangzhouensis	1037
Bacteroides caecimuris	2
Bacteroides eggerthii	1887
Bacteroides faecichinchillae	1
Bacteroides fragilis	1881
Bacteroides koreensis	969
Bacteroides kribbi	76
Bacteroides luhongzhouii	11
Bacteroides ovatus	867
Bacteroides salyersiae	1
Bacteroides thetaiotaomicron	4
Bacteroides xylanisolvens	1876
Bacteroides zhangwenhongii	1
Bartonella alsatica	1
Bartonella ancashensis	1
Bartonella capreoli	1
Bartonella henselae	3
Bartonella koehlerae	1
Bartonella krasnovii	1
Bartonella massiliensis	1
Bartonella quintana	1895
Bartonella vinsonii	3
Bergeyella cardium	635
Bifidobacterium adolescentis	420
Bifidobacterium animalis	1902
Bifidobacterium dentium	1900
Bifidobacterium faecale	1477
Bifidobacterium longum	1912
Blautia argi	1
Blautia coccoides	700
Blautia hominis	1
Blautia marasmi	2
Blautia producta	1187
Bordetella avium	14
Bordetella bronchialis	2911
Bordetella bronchiseptica	3670
Bordetella flabilis	446
Bordetella hinzii	2277
Bordetella holmesii	3715
Bordetella parapertussis	19
Bordetella pertussis	11
Bordetella petrii	2
Bordetella sputigena	154
Bordetella trematum	6
Bordetella tumulicola	8
Borrelia hermsii	12
Borrelia maritima	43
Borrelia turcica	3
Borreliella afzelii	1017
Borreliella americana	42
Borreliella andersonii	7
Borreliella bissettiae	846
Borreliella californiensis	68
Borreliella carolinensis	1
Borreliella garinii	1135
Borreliella japonica	19
Borreliella lanei	10
Borreliella lusitaniae	179
Borreliella mayonii	2
Borreliella sinica	41
Borreliella spielmanii	44
Borreliella tanukii	58
Borreliella turdi	7
Borreliella valaisiana	19
Brevundimonas diminuta	1872
Brevundimonas faecalis	2
Brevundimonas naejangsanensis	24
Brucella abortus	53
Brucella anthropi	1
Brucella canis	515
Brucella ceti	29
Brucella cytisi	2
Brucella haematophila	1
Brucella inopinata	1
Brucella lupini	1
Brucella melitensis	135
Brucella microti	527
Brucella neotomae	17
Brucella ovis	122
Brucella pinnipedialis	32
Brucella suis	478
Brucella vulpis	2
Burkholderia aenigmatica	2
Burkholderia ambifaria	75
Burkholderia anthina	37
Burkholderia arboris	365
Burkholderia catarinensis	1
Burkholderia cepacia	90
Burkholderia contaminans	178
Burkholderia diffusa	1
Burkholderia dolosa	1
Burkholderia humptydooensis	5
Burkholderia lata	445
Burkholderia latens	2
Burkholderia metallica	447
Burkholderia oklahomensis	2
Burkholderia paludis	180
Burkholderia puraquae	23
Burkholderia pyrrocinia	1
Burkholderia seminalis	11
Burkholderia stabilis	8
Burkholderia territorii	1
Burkholderia thailandensis	11
Burkholderia ubonensis	1
Burkholderia vietnamiensis	4
Buttiauxella izardii	5
Buttiauxella massiliensis	3
Campylobacter aviculae	7
Campylobacter bilis	0
Campylobacter concisus	1900
Campylobacter fetus	1878
Campylobacter gracilis	1895
Campylobacter hyointestinalis	1908
Campylobacter insulaenigrae	3
Campylobacter jejuni	1636
Campylobacter lari	178
Campylobacter subantarcticus	64
Campylobacter taeniopygiae	6
Capnocytophaga canimorsus	1911
Capnocytophaga cynodegmi	1
Cedecea lapagei	5
Chlamydia pneumoniae	1905
Chlamydia trachomatis	1906
Chryseobacterium aureum	1
Chryseobacterium cucumeris	3
Chryseobacterium fistulae	1
Chryseobacterium indologenes	1791
Chryseobacterium lactis	1
Chryseobacterium lecithinasegens	5
Chryseobacterium nakagawai	2
Chryseobacterium timonianum	73
Chryseobacterium tructae	4
Citrobacter amalonaticus	5
Citrobacter bitternis	2
Citrobacter braakii	1
Citrobacter cronae	2
Citrobacter europaeus	11
Citrobacter farmeri	2
Citrobacter freundii	9
Citrobacter gillenii	26
Citrobacter koseri	1800
Citrobacter murliniae	5
Citrobacter pasteurii	3
Citrobacter telavivensis	3
Citrobacter tructae	1
Citrobacter werkmanii	1
Citrobacter youngae	10
Clostridioides difficile	1899
Collinsella stercoris	1875
Corynebacterium aurimucosum	1
Corynebacterium belfantii	923
Corynebacterium diphtheriae	789
Corynebacterium endometrii	1
Corynebacterium kroppenstedtii	1318
Corynebacterium parakroppenstedtii	585
Corynebacterium pseudotuberculosis	59
Corynebacterium rouxii	187
Corynebacterium silvaticum	768
Corynebacterium simulans	1886
Corynebacterium striatum	2
Corynebacterium ulcerans	1065
Coxiella burnetii	1916
Cronobacter condimenti	1
Cronobacter dublinensis	1
Cronobacter malonaticus	236
Cronobacter sakazakii	1627
Cronobacter turicensis	25
Cronobacter universalis	1
Cutibacterium acnes	1901
Desulfonatronovibrio magnus	1
Eggerthella lenta	1907
Eikenella corrodens	3
Elizabethkingia anophelis	1778
Elizabethkingia meningoseptica	10
Elizabethkingia occulta	91
Elizabethkingia ursingii	2
Enterobacter asburiae	52
Enterobacter bugandensis	3
Enterobacter cancerogenus	17
Enterobacter chengduensis	741
Enterobacter chuandaensis	199
Enterobacter cloacae	1747
Enterobacter hormaechei	125
Enterobacter huaxiensis	54
Enterobacter kobei	14
Enterobacter ludwigii	124
Enterobacter mori	51
Enterobacter oligotrophicus	2
Enterobacter quasihormaechei	1735
Enterobacter quasiroggenkampii	259
Enterobacter sichuanensis	1494
Enterobacter soli	3
Enterobacter wuhouensis	745
Enterococcus casseliflavus	1
Enterococcus faecalis	1897
Enterococcus gallinarum	4
Enterococcus hermanniensis	1
Enterococcus hirae	5
Enterococcus innesii	2
Enterococcus lemanii	2
Enterococcus mediterraneensis	2
Enterococcus nangangensis	1
Enterococcus pseudoavium	1
Enterococcus ratti	1
Enterococcus saccharolyticus	2
Enterococcus silesiacus	1
Enterococcus ureilyticus	1
Enterococcus wangshanyuanii	1
Erwinia aphidicola	2
Erwinia billingiae	2
Erwinia endophytica	0
Erwinia persicina	4
Erwinia tasmaniensis	16
Escherichia albertii	5
Escherichia coli	3
Escherichia fergusonii	857
Escherichia marmotae	188
Evansella cellulosilytica	1
Fictibacillus arsenicus	1
Fictibacillus barbaricus	1
Fictibacillus nanhaiensis	1
Fusobacterium canifelinum	2
Fusobacterium nucleatum	1851
Fusobacterium simiae	4
Fusobacterium watanabei	41
Haemophilus aegyptius	288
Haemophilus haemolyticus	1
Haemophilus influenzae	1607
Haemophilus parainfluenzae	1895
Helicobacter pylori	1893
Hungatella effluvii	11
Hungatella hathewayi	1891
Intestinirhabdus alba	1
Intrasporangium calvum	1
Janibacter anophelis	1
Janibacter cremeus	1
Janibacter hoylei	23
Janibacter indicus	1766
Janibacter melonis	2
Janibacter terrae	80
Kingella kingae	1870
Kingella negevensis	34
Klebsiella aerogenes	3769
Klebsiella africana	159
Klebsiella grimontii	53
Klebsiella michiganensis	1
Klebsiella oxytoca	1701
Klebsiella pasteurii	1821
