Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Gender,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"1031746.3","Campylobacter hyointestinalis subsp. hyointestinalis LMG 9260",,1031746,"131567;2;1224;68525;29547;213849;72294;194;198;91352;1031746","cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter hyointestinalis;Campylobacter hyointestinalis subsp. hyointestinalis;Campylobacter hyointestinalis subsp. hyointestinalis LMG 9260","Bacteria","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Campylobacter hyointestinalis","Complete","LMG 9260",,,,"MLST.Campylobacter_hyointestinalis.5",,,,,,,,,,,,,"LMG:9260",,,"Good","2016-05-16T00:00:00Z",,,"PRJNA66795","SAMN03737973","GCF_001643955.1",,"CP015575",,"Complete","454; Illumina","1165x","Newbler v. 2.6",,,1,1753385,33.96,1,1753385,45,9,,1830,98.7,98.2,,100,,"feces",,"1986",1986,,"Belgium","Europe","Belgium: Brussels",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:cell culture","LMG culture collection","2016-07-05T00:18:45.867Z","2016-07-05T00:18:45.867Z"
"1032071.3","Arcobacter cryaerophilus D2610",,1032071,"131567;2;1224;68525;29547;213849;2808963;2321111;28198;1032071","cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Arcobacteraceae;Aliarcobacter;Aliarcobacter cryaerophilus;Aliarcobacter cryaerophilus D2610","Bacteria","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Arcobacteraceae","Aliarcobacter","Aliarcobacter cryaerophilus","Complete","D2610",,,,"MLST.Arcobacter_spp.210",,,,,,,,,,,,,,,,"Good","2018-10-16T00:00:00Z",,,"PRJNA66819","SAMN03737949","GCA_003660085.1",,"CP032825",,"Complete","Illumina HiSeq; 454","964x","Newbler v. 2.6",,,1,2055914,27.506939,1,2055914,51,5,,2028,98.7,98.2,,,,"blood",,,,,"USA","North America","USA",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:cell culture","USDA, ARS, WRRC","2019-07-17T02:17:27.434Z","2019-07-17T02:17:27.434Z"
"103855.148","Bordetella hinzii strain 2B1",,103855,"131567;2;1224;28216;80840;506;517;103855","cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella hinzii","Bacteria","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Bordetella","Bordetella hinzii","Complete","2B1",,,,,,,,,,,,,,,,,,,,"Good","2021-06-08T00:00:00Z",,,"PRJNA625574","SAMN14605665","GCA_018734265.1",,"CP052846",,"Complete","PacBio RSII","161.13X","HGAP v. 3",,,1,4899058,67.00862,1,4899058,61,6,,4668,98,96.4,,,,"clinical",,,,,"USA","North America","USA: Bethesda, Maryland",,"Homo sapiens","Human",,,"Bacteremia","Human",,,,"collected_by:NIH","Whole genome sequencing of Bordetella hinzii isolates from chronic infection in a human host with interleukin-12 receptor deficiency","2021-06-26T02:43:08.588Z","2021-06-26T02:43:08.588Z"
"1051974.3","Granulibacter bethesdensis CGDNIH2",,1051974,"131567;2;1224;28211;204441;433;364409;364410;1051974","cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Granulibacter;Granulibacter bethesdensis;Granulibacter bethesdensis CGDNIH2","Bacteria","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Granulibacter","Granulibacter bethesdensis","Complete","CGDNIH2",,,,,,,,,,,,,,,,," ",,,"Good","2014-02-20T00:00:00Z",,,"PRJNA68629","SAMN03081435","GCA_000576185.1",,"CP003183.1",,"Complete",,,,,,1,2736589,59,1,2736589,52,9,,2642,99.7,99.7,,100,,,,,,,,,,,"Human, Homo sapiens","Human",,,,"Human",,,,,"Complete genome sequencing and comparative analysis of an opportunistic human pathogen that infects patients with Chronic Granuloma Disease.","2014-12-08T22:11:41.892Z","2015-03-16T03:17:09.594Z"
"106654.153","Acinetobacter nosocomialis strain KAN01",,106654,"131567;2;1224;1236;2887326;468;469;909768;106654","cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;Acinetobacter nosocomialis","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter nosocomialis","Complete","KAN01",,,,"MLST.Acinetobacter_baumannii_1.879",,,,,,,,,,,,,,,,"Good","2019-04-14T00:00:00Z",,,"PRJNA530095","SAMN11295118","GCA_004792395.1",,"CP038816",,"Complete","PacBio RS","240.0x","HGAP v. Jun-2016",,,1,3793191,38.82143,1,3793191,75,12,,3661,99,98.5,,,,"sputum","isolated from blood of chronic obstructive pulmonary disease patient","2015-03-18",2015,,"South Korea","Asia","South Korea:Daejeon",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:cell culture","Acinetobacter nosocomialis KAN01 isolated from blood of chronic obstructive pulmonary disease patient.","2019-07-17T19:37:55.387Z","2019-07-17T19:37:55.387Z"
"1095685.4","Neisseria meningitidis M7124",,1095685,"131567;2;1224;28216;206351;481;482;487;1095685","cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria meningitidis;Neisseria meningitidis M7124","Bacteria","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria meningitidis","Complete","M7124",,,,"MLST.Neisseria_spp.11",,,,,,,,,,,,"genotype:ST-11",,,,"Good","2014-12-09T00:00:00Z",,,"PRJNA260327","SAMN03020254","GCF_000800275.1",,"CP009419",,"Complete","PacBio","131x","HGAP v. 2.0",,,1,2179483,51.73,1,2179483,61,5,,2559,99.9,99.9,,100,,,,"2000-03",2000,,"Saudi Arabia","Asia","Saudi Arabia: Mecca",,"Human, Homo sapiens","Human",,,"Invasive meningococcal disease","Human",,,,"collected_by:CDC","M7124 Neiseria meningitidis serogroup W ST-11 Hajj reference strain","2016-01-17T15:41:12.030Z","2016-01-17T15:41:12.030Z"
"1117645.837","Elizabethkingia anophelis C08",,1117645,"131567;2;1783270;68336;976;117743;200644;2762318;308865;1117645","cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Elizabethkingia;Elizabethkingia anophelis","Bacteria",,"Bacteroidota","Flavobacteriia","Flavobacteriales","Weeksellaceae","Elizabethkingia","Elizabethkingia anophelis","Complete","C08",,,,,,,,,,,,,,,,,,,,"Good","2022-09-28T00:00:00Z","35852325",,"PRJNA882201","SAMN30929146","GCA_025449135.1",,"CP104875",,"Complete","PacBio Sequel","1348","HGAP v. not specified",,,1,4045260,35.762077,1,4045260,54,10,,3799,98.3,97.6,2.8,99.2,,"blood",,"2012-12-08",2012,,"Taiwan","Asia","Taiwan",,"Homo sapiens","Human","female","73","Penumonia","Human",,,"host_description:The E. anophelis C08 strain was obtained from the Microbial Infections Reference Laboratory of the National Health Research Institutes, Taiwan. The clinical isolate was obtained from a female patient with bacteremia;host_disease_outcome:death;host_disease_stage:ICU;host_health_state:ICU;host_subject_id:08","collected_by:National Health Research Institutes",,"2022-10-16T13:41:47.843Z","2022-10-16T13:41:47.843Z"
"1134687.569","Klebsiella michiganensis MIN-086",,1134687,"131567;2;1224;1236;91347;543;2890311;570;1134687","cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella michiganensis","Bacteria",,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella michiganensis","Complete","MIN-086",,,,,,,,,,,,,,,,,,,,"Good","2022-01-13T00:00:00Z",,,"PRJNA769286","SAMN22108523","GCA_021460075.1",,"CP086124",,"Complete","Illumina MiSeq, Oxford Nanopore MiniION","100x","unicycler v. v0.4.9",,,1,6064047,55.74432,1,6064047,85,25,,5920,99.6,97.6,,,,,,"2016-12-12",2016,,"Pakistan","Asia","Pakistan",,"Homo sapiens","Human",,,,"Human",,,,"sample_type:whole organism",,"2022-01-28T14:40:57.257Z","2022-01-28T14:40:57.257Z"
"1215914.3","Lactobacillus casei W56",,1215914,"131567;2;1783272;1239;91061;186826;33958;2759736;1582;1215914","cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus;Lacticaseibacillus casei;Lacticaseibacillus casei W56","Bacteria","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lacticaseibacillus","Lacticaseibacillus casei","Complete","W56",,,,"MLST.Lactobacillus_casei.1",,,,,,,,,,,,," ",,,"Good","2012-09-14T00:00:00Z","23144392",,"PRJNA178267","SAMEA2271945","GCA_000318035.1",,"HE970764.1,HE970765.1",,"Complete",,"34x","AMOScmp",,1,2,3132096,46.29,1,3075780,60,15,,3280,99.7,96.9,0.3,100,,"probiotic products","ingredient of commercially available probiotic products",,,,"Netherlands",,"The Netherlands: Amsterdam",,"Human, Homo sapiens","Human",,,,"Human",,,,,"We announce the draft genome of Lactobacillus casei W56 in one contig. This strain shows immune modulatory and probiotic properties. The strain is also an ingredient of commercially available probiotic products.","2014-12-08T22:11:52.496Z","2015-03-16T03:17:09.594Z"
"1229621.4","Anaerostipes rhamnosivorans strain 1y2",,1229621,"131567;2;1783272;1239;186801;186802;186803;207244;1229621","cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Anaerostipes;Anaerostipes rhamnosivorans","Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Anaerostipes","Anaerostipes rhamnosivorans","Complete","1y2",,,,,,,,,,,,,,,,,,,,"Good","2019-05-12T00:00:00Z",,,"PRJNA540423","SAMN11535143","GCA_005280655.1",,"CP040058",,"Complete","PacBio RSII","30.0x","HGAP v. May-2015",,,1,3588860,44.526703,1,3588860,58,4,,3652,99.5,98.2,,,,"stool",,"2011",2011,,"Netherlands","Europe","Netherlands",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:pure culture","complete genome sequencing","2019-07-18T19:49:57.989Z","2019-07-18T19:49:57.989Z"
