Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Gender,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"1196182.3","Listeria monocytogenes serotype 1/2a str. 08-6056 strain 08-6056",,1196182,"131567;2;1783272;1239;91061;1385;186820;1637;1639;1906951;1196182","cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Listeriaceae;Listeria;Listeria monocytogenes;Listeria monocytogenes serotype 1/2a;Listeria monocytogenes serotype 1/2a str. 08-6056","Bacteria","Bacteria","Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria monocytogenes","Complete","1/2a","1/2a",,,,,,,,,,,,,,,,,,,"Good","2017-06-30T00:00:00Z",,,"PRJNA167895","SAMN07124748","GCA_002213585.1",,"CP007009",,"Complete","454 Illumina","790_X","Newbler v. 2.5.3 CLC genomics workbench v.",,,1,3032624,37.96,1,3032624,58,15,,3072,100,99.4,0.3,100,,"turkey meat",,"2008",2008,,"Canada","North America","Canada: Ontario",,"Enviroment","Environment",,,"Listeriosis","Environment",,,,"sample_type:Enviroment;collected_by:Public Health Agency of Canada;biomaterial_provider:Canadian Food Inspection Agency","Whole genome sequencing and comparison of Listeria monocytogenes Canadian food outbreaks","2017-07-23T04:12:36.547Z","2017-07-23T04:12:36.547Z"
"1280.44430","Staphylococcus aureus RIVM_M085090",,1280,"131567;2;1783272;1239;91061;1385;90964;1279;1280","cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus","Bacteria",,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus","Complete","RIVM_M085090",,,,"MLST.Staphylococcus_aureus.398",,,,,,,,,,,,"genotype:GG0398 (CC398)",,,,"Good","2022-12-07T00:00:00Z","36317053",,"PRJNA831673","SAMN27760544",,,"CP096522,CP096523,CP096524,CP096525",,,"Illumina MiSeq and HiSeq 2500, Nanopore","30x","Unicycler v. v.0.4.4",,3,4,2842022,32.9596,1,2796375,59,19,,2757,100,100,,100,,"pig farm dust",,"2019-06-01",2019,,"Netherlands","Europe","Netherlands",,"Environment","Environment",,,"None","Environment",,,,"collected_by:WBVR",,"2022-12-26T20:00:09.965Z","2022-12-26T20:00:09.965Z"
"1351.7158","Enterococcus faecalis AKSZ-208",,1351,"131567;2;1783272;1239;91061;186826;81852;1350;1351","cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecalis","Bacteria",,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecalis","Complete","AKSZ-208",,,,"MLST.Enterococcus_faecalis.73",,,,,,,,,,,,,,,,"Good","2022-11-15T00:00:00Z",,,"PRJNA716763","SAMN27545017",,,"CP110289,CP110290,CP110291,CP110292,CP110293,CP096049",,,"Illumina HiSeq; Oxford Nanopore MinION","100.0x","Flye v. v. 2.4.2",,5,6,3085197,37.39625,1,2830638,61,12,,3059,99.6,98.5,0.5,100,,"environment",,"2018-10",2018,,"China","Asia","China: Xinjiang",,"Environment","Environment",,,,"Environment",,,,"sample_type:cell culture",,"2022-12-26T05:04:11.452Z","2022-12-26T05:04:11.452Z"
"155322.309","Bacillus toyonensis UTDF19-29B",,155322,"131567;2;1783272;1239;91061;1385;186817;1386;86661;155322","cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus group;Bacillus toyonensis","Bacteria",,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus toyonensis","Complete","UTDF19-29B",,,,"MLST.Bacillus_cereus.495",,,,,,,,,,,,,,,,"Good","2022-02-10T00:00:00Z",,,"PRJNA756567","SAMN20890002","GCA_022170805.1",,"CP081872,CP081873,CP081874,CP081875,CP081876,CP081877",,"Complete","Illumina NextSeq, ONT MinION","235x, 36x","Unicycler v. v.0.4.8",,5,6,5872224,35.09653,1,5240743,107,41,,6011,99.7,98.6,,,,"soil",,"2019",2019,,"USA","North America","USA: Dallas, Texas",,"Environment","Environment",,,,"Environment",,,,,,"2022-02-27T04:27:08.865Z","2022-02-27T04:27:08.865Z"
"1667327.38","Klebsiella quasipneumoniae subsp. quasipneumoniae strain SB98",,1667327,"131567;2;1224;1236;91347;543;2890311;570;1463165;1667327","cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella quasipneumoniae;Klebsiella quasipneumoniae subsp. quasipneumoniae","Bacteria","null","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella quasipneumoniae","Complete","SB98",,,,"MLST.Klebsiella_pneumoniae.622",,,,,,,,,,,,,,,,"Good","2021-10-19T00:00:00Z",,,"PRJNA768294","SAMN22024803","GCA_020525785.1",,"CP084803,CP084804,CP084805",,"Complete","Minion (Oxford Nanopore) and NextSeq","50x","Trycycler; Medaka; Pilon v. 0.3.3; 1.3.3;",,2,3,5944214,57.413765,1,5416099,88,25,,5905,99.7,97.9,,,,,,,,,,,,,"Environment","Environment",,,,"Environment",,,,"sample_type:Whole organism;biomaterial_provider:Department of Infectious Diseases, Monash University, Melbourne, Victoria, Australia","Complete genomes from a range of Klebsiella species across the Klebsiella pneumoniae species complex. Some genomes overlapping with PRJEB15325","2021-10-31T16:14:33.154Z","2021-10-31T16:14:33.154Z"
"1812935.393","Enterobacter roggenkampii GD21SC1505",,1812935,"131567;2;1224;1236;91347;543;547;354276;1812935","cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter cloacae complex;Enterobacter roggenkampii","Bacteria",,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter roggenkampii","Complete","GD21SC1505",,,,,,,,,,,,,,,,,,,,"Good","2022-06-06T00:00:00Z",,,"PRJNA797191","SAMN24967284","GCA_023650875.1",,"CP091081,CP091082,CP091083,CP091084,CP091085,CP091086",,"Complete","Illumina HiSeq; Oxford Nanopore MinION","100.0x","Unicycler v. v 0.4.8",,5,6,4978945,55.788162,1,4780540,84,25,,4972,99,98.5,,100,,"farmer market",,"2021-07",2021,,"China","Asia","China: Guangdong",,"Environment","Environment",,,,"Environment",,,,"sample_type:strain",,"2022-06-23T16:57:42.921Z","2022-06-23T16:57:42.921Z"
"2489014.3","Klebsiella variicola subsp. tropicalensis strain CDC4241-71",,2489014,"131567;2;1224;1236;91347;543;2890311;570;244366;2489014","cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella variicola;Klebsiella variicola subsp. tropica","Bacteria","null","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella variicola","Complete","CDC4241-71",,,,"MLST.Klebsiella_pneumoniae.1216",,,,,,,,,,,,,,,,"Good","2021-10-19T00:00:00Z",,,"PRJNA768294","SAMN22024811","GCA_020525625.1",,"CP084767",,"Complete","Minion (Oxford Nanopore) and NextSeq","50x","Trycycler; Medaka; Pilon v. 0.3.3; 1.3.3;",,,1,5544082,57.17605,1,5544082,86,24,,5421,99.8,98.2,,,,,,,,,,,,,"Environment","Environment",,,,"Environment",,,,"sample_type:Whole organism;biomaterial_provider:Department of Infectious Diseases, Monash University, Melbourne, Victoria, Australia","Complete genomes from a range of Klebsiella species across the Klebsiella pneumoniae species complex. Some genomes overlapping with PRJEB15325","2021-10-31T16:13:55.732Z","2021-10-31T16:13:55.732Z"
"388357.3","Kocuria turfanensis strain HO-9042",,388357,"131567;2;1783272;201174;1760;85006;1268;57493;388357","cellular organisms;Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Kocuria;Kocuria turfanensis","Bacteria","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Kocuria","Kocuria turfanensis","Complete","HO-9042",,,,,,,,,,,,,,,,,,,"Representative","Good","2016-03-07T00:00:00Z",,,"PRJNA310393","SAMN04455734","GCA_001580365.1",,"CP014480,CP014481,CP014482,CP014483,CP014484",,"Complete","Illumina","400.0","SOAPdenovo v. 2.3",,4,5,4159643,72.75,1,3742169,49,12,,4024,97.6,96.8,,99.5,,,,"2006-08-20",2006,,"China","Asia","China:Xinjiang",,"Air","Environment",,,,"Environment",,,,"sample_type:mixed culture","In addition it showed the ability of removal of heavy metal such as Cu2+, Ni2+, Zn2+ and Co2+ ions. To gain insight into the genes related to the adaption to extreme environment of Kocuria flava HO-9041, we performed whole-genome sequencing","2016-03-18T12:20:39.403Z","2016-03-18T12:20:39.403Z"
"41170.17","Exiguobacterium acetylicum UTDF19-27C",,41170,"131567;2;1783272;1239;91061;1385;539002;539742;33986;41170","cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Bacillales incertae sedis;Bacillales Family XII. Incertae Sedis;Exiguobacterium;Exiguobacterium acetylicum","Bacteria",,"Bacillota","Bacilli","Bacillales",,"Exiguobacterium","Exiguobacterium acetylicum","Complete","UTDF19-27C",,,,,,,,,,,,,,,,,,,,"Good","2022-02-10T00:00:00Z",,,"PRJNA756567","SAMN20890001","GCA_022170825.1",,"CP081878,CP081879",,"Complete","Illumina NextSeq, ONT MinION","318x, 45x","Unicycler v. v.0.4.8",,1,2,3361148,46.707733,1,3176680,69,18,,3443,99.6,99.3,,,,"soil",,"2019",2019,,"USA","North America","USA: Dallas, Texas",,"Environment","Environment",,,,"Environment",,,,,,"2022-02-27T03:41:16.740Z","2022-02-27T03:41:16.740Z"
"41276.20","Brevundimonas vesicularis Br4",,41276,"131567;2;1224;28211;204458;76892;41275;41276","cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;Brevundimonas vesicularis","Bacteria",,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","Brevundimonas vesicularis","Complete","Br4",,,,,,,,,,,,,,,,,,,,"Good","2022-12-20T00:00:00Z",,,"PRJNA911343","SAMN32180106",,,"CP114278",,,"PacBio RSII","7349.0x","Flye v. 2.9",,,1,3120167,66.05999,1,3120167,49,6,,3125,99.6,98.9,,100,,"water",,"2012-09",2012,,"South Korea","Asia","South Korea: Daejeon",,"Environment","Environment",,,,"Environment",,,,"sample_type:cell culture",,"2022-12-27T04:08:16.504Z","2022-12-27T04:08:16.504Z"
